cell_id,avg_rsrp,lon,lat,cell_el_deg
cell_1_0,-256.1195045981782,80.24201975271524,41.28036694063197,20.0
cell_1_1,-251.1195045981782,80.24201975271524,41.28036694063197,6.0
cell_1_2,-250.6195045981782,80.24201975271524,41.28036694063197,7.0
cell_2_0,-236.10311956047042,80.24201975271524,41.28036694063197,17.0
cell_2_1,-233.10311956047042,80.24201975271524,41.28036694063197,5.0
cell_2_2,-237.60311956047042,80.24201975271524,41.28036694063197,20.0
cell_3_0,-263.8180884968716,80.24201975271524,41.28036694063197,9.0
cell_3_1,-267.3180884968716,80.24201975271524,41.28036694063197,16.0
cell_3_2,-266.3180884968716,80.24201975271524,41.28036694063197,2.0
cell_4_0,-260.20474080845287,80.24201975271524,41.28036694063197,0.0
cell_4_1,-258.20474080845287,80.24201975271524,41.28036694063197,4.0
cell_4_2,-260.20474080845287,80.24201975271524,41.28036694063197,0.0
cell_5_0,-267.37601934525924,80.24201975271524,41.28036694063197,1.0
cell_5_1,-269.37601934525924,80.24201975271524,41.28036694063197,19.0
cell_5_2,-266.37601934525924,80.24201975271524,41.28036694063197,3.0
cell_1_0,-255.30270372915314,91.57828764511747,40.589961064290286,18.0
cell_1_1,-253.30270372915314,91.57828764511747,40.589961064290286,2.0
cell_1_2,-254.30270372915314,91.57828764511747,40.589961064290286,0.0
cell_2_0,-243.88181643585125,91.57828764511747,40.589961064290286,18.0
cell_2_1,-241.38181643585125,91.57828764511747,40.589961064290286,3.0
cell_2_2,-244.38181643585125,91.57828764511747,40.589961064290286,19.0
cell_3_0,-270.40226466308786,91.57828764511747,40.589961064290286,20.0
cell_3_1,-265.90226466308786,91.57828764511747,40.589961064290286,11.0
cell_3_2,-264.40226466308786,91.57828764511747,40.589961064290286,8.0
cell_4_0,-261.4159066081108,91.57828764511747,40.589961064290286,16.0
cell_4_1,-262.4159066081108,91.57828764511747,40.589961064290286,18.0
cell_4_2,-260.9159066081108,91.57828764511747,40.589961064290286,15.0
cell_5_0,-263.2369700418153,91.57828764511747,40.589961064290286,8.0
cell_5_1,-263.2369700418153,91.57828764511747,40.589961064290286,8.0
cell_5_2,-268.2369700418153,91.57828764511747,40.589961064290286,18.0
cell_1_0,-219.13345052515754,30.349353919043804,83.82486313404158,9.0
cell_1_1,-220.63345052515754,30.349353919043804,83.82486313404158,4.0
cell_1_2,-220.13345052515754,30.349353919043804,83.82486313404158,5.0
cell_2_0,-254.17445668500366,30.349353919043804,83.82486313404158,19.0
cell_2_1,-252.17445668500366,30.349353919043804,83.82486313404158,15.0
cell_2_2,-254.17445668500366,30.349353919043804,83.82486313404158,19.0
cell_3_0,-260.60423045085736,30.349353919043804,83.82486313404158,9.0
cell_3_1,-265.10423045085736,30.349353919043804,83.82486313404158,18.0
cell_3_2,-261.60423045085736,30.349353919043804,83.82486313404158,11.0
cell_4_0,-262.2955318745687,30.349353919043804,83.82486313404158,9.0
cell_4_1,-265.7955318745687,30.349353919043804,83.82486313404158,0.0
cell_4_2,-262.7955318745687,30.349353919043804,83.82486313404158,10.0
cell_5_0,-270.54534966263907,30.349353919043804,83.82486313404158,13.0
cell_5_1,-271.54534966263907,30.349353919043804,83.82486313404158,15.0
cell_5_2,-273.54534966263907,30.349353919043804,83.82486313404158,19.0
cell_1_0,-219.95049566173537,-4.415734078289059,84.44876669296451,8.0
cell_1_1,-223.45049566173537,-4.415734078289059,84.44876669296451,15.0
cell_1_2,-223.45049566173537,-4.415734078289059,84.44876669296451,1.0
cell_2_0,-252.7565230407852,-4.415734078289059,84.44876669296451,2.0
cell_2_1,-252.7565230407852,-4.415734078289059,84.44876669296451,14.0
cell_2_2,-254.7565230407852,-4.415734078289059,84.44876669296451,18.0
cell_3_0,-262.7187309640975,-4.415734078289059,84.44876669296451,2.0
cell_3_1,-260.2187309640975,-4.415734078289059,84.44876669296451,7.0
cell_3_2,-260.7187309640975,-4.415734078289059,84.44876669296451,10.0
cell_4_0,-264.5970005880017,-4.415734078289059,84.44876669296451,3.0
cell_4_1,-265.5970005880017,-4.415734078289059,84.44876669296451,15.0
cell_4_2,-263.5970005880017,-4.415734078289059,84.44876669296451,11.0
cell_5_0,-269.77919535745355,-4.415734078289059,84.44876669296451,5.0
cell_5_1,-273.27919535745355,-4.415734078289059,84.44876669296451,18.0
cell_5_2,-272.27919535745355,-4.415734078289059,84.44876669296451,16.0
cell_1_0,-264.06225033926034,95.49544906225685,0.7476043434835518,17.0
cell_1_1,-263.06225033926034,95.49544906225685,0.7476043434835518,1.0
cell_1_2,-262.56225033926034,95.49544906225685,0.7476043434835518,2.0
cell_2_0,-257.50453412197345,95.49544906225685,0.7476043434835518,20.0
cell_2_1,-254.50453412197345,95.49544906225685,0.7476043434835518,14.0
cell_2_2,-253.00453412197345,95.49544906225685,0.7476043434835518,5.0
cell_3_0,-267.3422131611232,95.49544906225685,0.7476043434835518,5.0
cell_3_1,-271.3422131611232,95.49544906225685,0.7476043434835518,19.0
cell_3_2,-267.3422131611232,95.49544906225685,0.7476043434835518,5.0
cell_4_0,-253.5327038003635,95.49544906225685,0.7476043434835518,8.0
cell_4_1,-257.0327038003635,95.49544906225685,0.7476043434835518,1.0
cell_4_2,-255.5327038003635,95.49544906225685,0.7476043434835518,12.0
cell_5_0,-259.4524842432444,95.49544906225685,0.7476043434835518,13.0
cell_5_1,-258.4524842432444,95.49544906225685,0.7476043434835518,5.0
cell_5_2,-260.9524842432444,95.49544906225685,0.7476043434835518,0.0
cell_1_0,-255.58465899842886,87.3532057401339,31.093066141802055,13.0
cell_1_1,-254.58465899842886,87.3532057401339,31.093066141802055,11.0
cell_1_2,-254.58465899842886,87.3532057401339,31.093066141802055,5.0
cell_2_0,-241.97243938418342,87.3532057401339,31.093066141802055,13.0
cell_2_1,-242.47243938418342,87.3532057401339,31.093066141802055,2.0
cell_2_2,-243.97243938418342,87.3532057401339,31.093066141802055,17.0
cell_3_0,-264.41753163303156,87.3532057401339,31.093066141802055,8.0
cell_3_1,-264.41753163303156,87.3532057401339,31.093066141802055,8.0
cell_3_2,-266.41753163303156,87.3532057401339,31.093066141802055,12.0
cell_4_0,-258.58345289265276,87.3532057401339,31.093066141802055,14.0
cell_4_1,-255.58345289265276,87.3532057401339,31.093066141802055,8.0
cell_4_2,-259.58345289265276,87.3532057401339,31.093066141802055,0.0
cell_5_0,-264.761401068626,87.3532057401339,31.093066141802055,13.0
cell_5_1,-267.761401068626,87.3532057401339,31.093066141802055,19.0
cell_5_2,-266.261401068626,87.3532057401339,31.093066141802055,0.0
cell_1_0,-206.61290759930014,1.0057004192304575,88.7102359514231,9.0
cell_1_1,-208.61290759930014,1.0057004192304575,88.7102359514231,13.0
cell_1_2,-208.11290759930014,1.0057004192304575,88.7102359514231,4.0
cell_2_0,-250.21934371670756,1.0057004192304575,88.7102359514231,8.0
cell_2_1,-253.21934371670756,1.0057004192304575,88.7102359514231,14.0
cell_2_2,-250.71934371670756,1.0057004192304575,88.7102359514231,7.0
cell_3_0,-262.84072712934204,1.0057004192304575,88.7102359514231,3.0
cell_3_1,-262.34072712934204,1.0057004192304575,88.7102359514231,12.0
cell_3_2,-264.84072712934204,1.0057004192304575,88.7102359514231,17.0
cell_4_0,-263.0420991274409,1.0057004192304575,88.7102359514231,7.0
cell_4_1,-263.0420991274409,1.0057004192304575,88.7102359514231,7.0
cell_4_2,-265.5420991274409,1.0057004192304575,88.7102359514231,2.0
cell_5_0,-272.40377994140056,1.0057004192304575,88.7102359514231,17.0
cell_5_1,-271.90377994140056,1.0057004192304575,88.7102359514231,0.0
cell_5_2,-268.40377994140056,1.0057004192304575,88.7102359514231,7.0
cell_1_0,-259.07998037569473,61.13335382136259,14.40083207009387,4.0
cell_1_1,-259.57998037569473,61.13335382136259,14.40083207009387,13.0
