sim_idx,loc_x,loc_y,cell_rxpwr_dbm_1,cell_txpwr_dbm_1,cell_az_deg_1,cell_el_deg_1,cell_mech_deg_1,rsrp_dbm,cell_id,sinr_db,cell_el_deg,cell_rxpwr_dbm
4,-121.76944444444445,47.47555555555555,-109.6358871459961,23,285,13,0,-109.6358871459961,1,13.002639770507809,13,-109.6358871459961
4,-121.76944444444445,47.47583333333333,-108.89311218261719,23,285,13,0,-108.89311218261719,1,13.745407104492191,13,-108.89311218261719
4,-121.76944444444445,47.47611111111111,-108.54804229736328,23,285,13,0,-108.54804229736328,1,14.090484619140629,13,-108.54804229736328
4,-121.76944444444445,47.476388888888884,-108.41372680664062,23,285,13,0,-108.41372680664062,1,14.224792480468764,13,-108.41372680664062
4,-121.76944444444445,47.47666666666667,-108.49211120605469,23,285,13,0,-108.49211120605469,1,14.146408081054691,13,-108.49211120605469
4,-121.76944444444445,47.47694444444444,-108.41336822509766,23,285,13,0,-108.41336822509766,1,14.22515869140625,13,-108.41336822509766
4,-121.76944444444445,47.47722222222222,-108.17749786376953,23,285,13,0,-108.17749786376953,1,14.461029052734364,13,-108.17749786376953
4,-121.76944444444445,47.4775,-107.97137451171875,23,285,13,0,-107.97137451171875,1,14.66714477539064,13,-107.97137451171875
4,-121.76944444444445,47.477777777777774,-107.97649383544922,23,285,13,0,-107.97649383544922,1,14.662033081054684,13,-107.97649383544922
4,-121.76944444444445,47.47805555555555,-108.19035339355469,23,285,13,0,-108.19035339355469,1,14.448165893554688,13,-108.19035339355469
4,-121.76916666666666,47.474999999999994,-110.5051040649414,23,285,13,0,-110.5051040649414,1,12.133422851562496,13,-110.5051040649414
4,-121.76916666666666,47.47527777777778,-110.07355499267578,23,285,13,0,-110.07355499267578,1,12.564971923828114,13,-110.07355499267578
4,-121.76916666666666,47.47555555555555,-109.279296875,23,285,13,0,-109.279296875,1,13.359222412109375,13,-109.279296875
4,-121.76916666666666,47.47583333333333,-108.51609802246094,23,285,13,0,-108.51609802246094,1,14.122421264648448,13,-108.51609802246094
4,-121.76916666666666,47.47611111111111,-107.97303009033203,23,285,13,0,-107.97303009033203,1,14.665496826171864,13,-107.97303009033203
4,-121.76916666666666,47.476388888888884,-108.01984405517578,23,285,13,0,-108.01984405517578,1,14.618682861328125,13,-108.01984405517578
4,-121.76916666666666,47.47666666666667,-108.09809112548828,23,285,13,0,-108.09809112548828,1,14.540435791015618,13,-108.09809112548828
4,-121.76916666666666,47.47694444444444,-107.82809448242188,23,285,13,0,-107.82809448242188,1,14.810424804687514,13,-107.82809448242188
4,-121.76916666666666,47.47722222222222,-107.40339660644531,23,285,13,0,-107.40339660644531,1,15.235122680664066,13,-107.40339660644531
4,-121.76916666666666,47.4775,-107.56819915771484,23,285,13,0,-107.56819915771484,1,15.070327758789066,13,-107.56819915771484
4,-121.76916666666666,47.477777777777774,-107.5762710571289,23,285,13,0,-107.5762710571289,1,15.062255859375,13,-107.5762710571289
4,-121.76916666666666,47.47805555555555,-107.79834747314453,23,285,13,0,-107.79834747314453,1,14.840179443359371,13,-107.79834747314453
4,-121.76916666666666,47.47833333333333,-108.2341537475586,23,285,13,0,-108.2341537475586,1,14.404373168945312,13,-108.2341537475586
4,-121.76916666666666,47.47861111111111,-108.50776672363281,23,285,13,0,-108.50776672363281,1,14.13075256347657,13,-108.50776672363281
4,-121.76916666666666,47.47888888888889,-108.80399322509766,23,285,13,0,-108.80399322509766,1,13.83453369140625,13,-108.80399322509766
4,-121.7688888888889,47.474444444444444,-110.936767578125,23,285,13,0,-110.936767578125,1,11.70175170898439,13,-110.936767578125
4,-121.7688888888889,47.47472222222222,-110.84293365478516,23,285,13,0,-110.84293365478516,1,11.795593261718746,13,-110.84293365478516
4,-121.7688888888889,47.474999999999994,-110.57450866699219,23,285,13,0,-110.57450866699219,1,12.064010620117198,13,-110.57450866699219
4,-121.7688888888889,47.47527777777778,-110.12742614746094,23,285,13,0,-110.12742614746094,1,12.511093139648448,13,-110.12742614746094
4,-121.7688888888889,47.47555555555555,-109.30426025390625,23,285,13,0,-109.30426025390625,1,13.334259033203129,13,-109.30426025390625
4,-121.7688888888889,47.47583333333333,-108.31886291503906,23,285,13,0,-108.31886291503906,1,14.31965637207032,13,-108.31886291503906
4,-121.7688888888889,47.47611111111111,-107.75792694091797,23,285,13,0,-107.75792694091797,1,14.880599975585938,13,-107.75792694091797
4,-121.7688888888889,47.476388888888884,-107.80441284179688,23,285,13,0,-107.80441284179688,1,14.834106445312507,13,-107.80441284179688
4,-121.7688888888889,47.47666666666667,-107.68965911865234,23,285,13,0,-107.68965911865234,1,14.948867797851566,13,-107.68965911865234
4,-121.7688888888889,47.47694444444444,-107.60626983642578,23,285,13,0,-107.60626983642578,1,15.032257080078129,13,-107.60626983642578
4,-121.7688888888889,47.47722222222222,-107.36154174804688,23,285,13,0,-107.36154174804688,1,15.27697753906251,13,-107.36154174804688
4,-121.7688888888889,47.4775,-107.1504135131836,23,285,13,0,-107.1504135131836,1,15.488113403320316,13,-107.1504135131836
4,-121.7688888888889,47.477777777777774,-106.97303771972656,23,285,13,0,-106.97303771972656,1,15.66548156738282,13,-106.97303771972656
4,-121.7688888888889,47.47805555555555,-107.39270782470703,23,285,13,0,-107.39270782470703,1,15.245819091796875,13,-107.39270782470703
4,-121.7688888888889,47.47833333333333,-108.0350341796875,23,285,13,0,-108.0350341796875,1,14.603485107421879,13,-108.0350341796875
4,-121.7688888888889,47.47861111111111,-108.32032775878906,23,285,13,0,-108.32032775878906,1,14.318191528320323,13,-108.32032775878906
4,-121.7688888888889,47.47888888888889,-108.62913513183594,23,285,13,0,-108.62913513183594,1,14.009384155273441,13,-108.62913513183594
4,-121.7688888888889,47.479166666666664,-108.7679443359375,23,285,13,0,-108.7679443359375,1,13.870574951171886,13,-108.7679443359375
4,-121.7688888888889,47.47944444444444,-108.74072265625,23,285,13,0,-108.74072265625,1,13.89779663085939,13,-108.74072265625
4,-121.76861111111111,47.47388888888889,-111.304443359375,23,285,13,0,-111.304443359375,1,11.334075927734375,13,-111.304443359375
4,-121.76861111111111,47.47416666666666,-111.35502624511719,23,285,13,0,-111.35502624511719,1,11.283493041992188,13,-111.35502624511719
4,-121.76861111111111,47.474444444444444,-111.2353286743164,23,285,13,0,-111.2353286743164,1,11.4031982421875,13,-111.2353286743164
4,-121.76861111111111,47.47472222222222,-110.93539428710938,23,285,13,0,-110.93539428710938,1,11.703125000000014,13,-110.93539428710938
4,-121.76861111111111,47.474999999999994,-110.65738677978516,23,285,13,0,-110.65738677978516,1,11.981140136718746,13,-110.65738677978516
4,-121.76861111111111,47.47527777777778,-110.19391632080078,23,285,13,0,-110.19391632080078,1,12.444610595703125,13,-110.19391632080078
4,-121.76861111111111,47.47555555555555,-109.33999633789062,23,285,13,0,-109.33999633789062,1,13.29852294921876,13,-109.33999633789062
4,-121.76861111111111,47.47583333333333,-108.31754302978516,23,285,13,0,-108.31754302978516,1,14.32098388671875,13,-108.31754302978516
4,-121.76861111111111,47.47611111111111,-107.73540496826172,23,285,13,0,-107.73540496826172,1,14.903121948242184,13,-107.73540496826172
4,-121.76861111111111,47.476388888888884,-107.38523864746094,23,285,13,0,-107.38523864746094,1,15.253280639648441,13,-107.38523864746094
